data_label,year,gear,julian,sample_num,region,prob,
YukonRetro,1982,Fish Wheel,200,12,36,0.97,
YukonRetro,1982,Fish Wheel,200,12,35,0.03,
YukonRetro,1982,Fish Wheel,,12,,,
YukonRetro,1982,Fish Wheel,,12,,,
YukonRetro,1982,Fish Wheel,,12,,,
YukonRetro,1982,Fish Wheel,,12,,,
YukonRetro,1982,Fish Wheel,,12,,,
YukonRetro,1982,Fish Wheel,200,13,34,0.4,
YukonRetro,1982,Fish Wheel,200,13,35,0.38,
YukonRetro,1982,Fish Wheel,,13,32,0.16,
YukonRetro,1982,Fish Wheel,,13,31,0.02,
YukonRetro,1982,Fish Wheel,,13,38,0.02,
YukonRetro,1982,Fish Wheel,,13,33,0.01,
YukonRetro,1982,Fish Wheel,,13,36,0,
YukonRetro,1982,Fish Wheel,197,15,31,1,
YukonRetro,1982,Fish Wheel,197,15,,,
YukonRetro,1982,Fish Wheel,,15,,,
YukonRetro,1982,Fish Wheel,,15,,,
YukonRetro,1982,Fish Wheel,,15,,,
YukonRetro,1982,Fish Wheel,,15,,,
YukonRetro,1982,Fish Wheel,,15,,,
YukonRetro,1982,Fish Wheel,198,16,35,0.73,
YukonRetro,1982,Fish Wheel,198,16,36,0.27,
YukonRetro,1982,Fish Wheel,,16,,,
YukonRetro,1982,Fish Wheel,,16,,,
YukonRetro,1982,Fish Wheel,,16,,,
YukonRetro,1982,Fish Wheel,,16,,,
YukonRetro,1982,Fish Wheel,,16,,,
YukonRetro,1982,Fish Wheel,198,17,35,0.44,
YukonRetro,1982,Fish Wheel,198,17,31,0.42,
YukonRetro,1982,Fish Wheel,,17,32,0.12,
YukonRetro,1982,Fish Wheel,,17,34,0.01,
YukonRetro,1982,Fish Wheel,,17,33,0.01,
YukonRetro,1982,Fish Wheel,,17,30,0,
YukonRetro,1982,Fish Wheel,,17,,,
YukonRetro,1982,Fish Wheel,200,18,31,0.56,
YukonRetro,1982,Fish Wheel,200,18,33,0.18,
YukonRetro,1982,Fish Wheel,,18,32,0.13,
YukonRetro,1982,Fish Wheel,,18,35,0.07,
YukonRetro,1982,Fish Wheel,,18,34,0.06,
YukonRetro,1982,Fish Wheel,,18,38,0,
YukonRetro,1982,Fish Wheel,,18,36,0,
YukonRetro,1982,Fish Wheel,200,19,34,0.44,
YukonRetro,1982,Fish Wheel,200,19,31,0.26,
YukonRetro,1982,Fish Wheel,,19,38,0.13,
YukonRetro,1982,Fish Wheel,,19,33,0.09,
YukonRetro,1982,Fish Wheel,,19,35,0.06,
YukonRetro,1982,Fish Wheel,,19,32,0.03,
YukonRetro,1982,Fish Wheel,,19,36,0,
YukonRetro,1982,Fish Wheel,200,20,31,0.54,
YukonRetro,1982,Fish Wheel,200,20,30,0.32,
YukonRetro,1982,Fish Wheel,,20,33,0.13,
YukonRetro,1982,Fish Wheel,,20,35,0,
YukonRetro,1982,Fish Wheel,,20,34,0,
YukonRetro,1982,Fish Wheel,,20,32,0,
YukonRetro,1982,Fish Wheel,,20,,,
YukonRetro,1982,Fish Wheel,200,21,35,0.99,
YukonRetro,1982,Fish Wheel,200,21,36,0.01,
YukonRetro,1982,Fish Wheel,,21,34,0,
YukonRetro,1982,Fish Wheel,,21,31,0,
YukonRetro,1982,Fish Wheel,,21,32,0,
YukonRetro,1982,Fish Wheel,,21,33,0,
YukonRetro,1982,Fish Wheel,,21,,,
YukonRetro,1982,Fish Wheel,200,22,36,0.84,
YukonRetro,1982,Fish Wheel,200,22,35,0.16,
YukonRetro,1982,Fish Wheel,,22,31,0,
YukonRetro,1982,Fish Wheel,,22,34,0,
YukonRetro,1982,Fish Wheel,,22,,,
YukonRetro,1982,Fish Wheel,,22,,,
YukonRetro,1982,Fish Wheel,,22,,,
YukonRetro,1982,Fish Wheel,200,23,31,0.52,
YukonRetro,1982,Fish Wheel,200,23,34,0.28,
YukonRetro,1982,Fish Wheel,,23,35,0.16,
YukonRetro,1982,Fish Wheel,,23,32,0.02,
YukonRetro,1982,Fish Wheel,,23,33,0.01,
YukonRetro,1982,Fish Wheel,,23,38,0,
YukonRetro,1982,Fish Wheel,,23,36,0,
YukonRetro,1982,Fish Wheel,200,24,31,1,
YukonRetro,1982,Fish Wheel,200,24,,,
YukonRetro,1982,Fish Wheel,,24,,,
YukonRetro,1982,Fish Wheel,,24,,,
YukonRetro,1982,Fish Wheel,,24,,,
YukonRetro,1982,Fish Wheel,,24,,,
YukonRetro,1982,Fish Wheel,,24,,,
YukonRetro,1982,Fish Wheel,200,25,34,1,
YukonRetro,1982,Fish Wheel,200,25,35,0,
YukonRetro,1982,Fish Wheel,,25,33,0,
YukonRetro,1982,Fish Wheel,,25,32,0,
YukonRetro,1982,Fish Wheel,,25,,,
YukonRetro,1982,Fish Wheel,,25,,,
YukonRetro,1982,Fish Wheel,,25,,,
YukonRetro,1982,Fish Wheel,200,26,34,0.84,
YukonRetro,1982,Fish Wheel,200,26,31,0.11,
YukonRetro,1982,Fish Wheel,,26,33,0.03,
YukonRetro,1982,Fish Wheel,,26,35,0.01,
YukonRetro,1982,Fish Wheel,,26,32,0.01,
YukonRetro,1982,Fish Wheel,,26,36,0,
YukonRetro,1982,Fish Wheel,,26,38,0,
YukonRetro,1982,Fish Wheel,200,27,35,0.92,
YukonRetro,1982,Fish Wheel,200,27,34,0.06,
YukonRetro,1982,Fish Wheel,,27,31,0.02,
YukonRetro,1982,Fish Wheel,,27,32,0,
YukonRetro,1982,Fish Wheel,,27,38,0,
YukonRetro,1982,Fish Wheel,,27,33,0,
YukonRetro,1982,Fish Wheel,,27,36,0,
YukonRetro,1982,Fish Wheel,201,28,34,0.95,
YukonRetro,1982,Fish Wheel,201,28,38,0.04,
YukonRetro,1982,Fish Wheel,,28,35,0.01,
YukonRetro,1982,Fish Wheel,,28,32,0,
YukonRetro,1982,Fish Wheel,,28,31,0,
YukonRetro,1982,Fish Wheel,,28,33,0,
YukonRetro,1982,Fish Wheel,,28,,,
YukonRetro,1982,Fish Wheel,201,29,38,1,
YukonRetro,1982,Fish Wheel,201,29,34,0,
YukonRetro,1982,Fish Wheel,,29,,,
YukonRetro,1982,Fish Wheel,,29,,,
YukonRetro,1982,Fish Wheel,,29,,,
YukonRetro,1982,Fish Wheel,,29,,,
YukonRetro,1982,Fish Wheel,,29,,,
YukonRetro,1982,Fish Wheel,201,30,35,0.84,
YukonRetro,1982,Fish Wheel,201,30,36,0.16,
YukonRetro,1982,Fish Wheel,,30,31,0,
YukonRetro,1982,Fish Wheel,,30,32,0,
YukonRetro,1982,Fish Wheel,,30,,,
YukonRetro,1982,Fish Wheel,,30,,,
YukonRetro,1982,Fish Wheel,,30,,,
YukonRetro,1982,Fish Wheel,201,31,32,0.47,
YukonRetro,1982,Fish Wheel,201,31,31,0.29,
YukonRetro,1982,Fish Wheel,,31,35,0.1,
YukonRetro,1982,Fish Wheel,,31,33,0.09,
YukonRetro,1982,Fish Wheel,,31,34,0.04,
YukonRetro,1982,Fish Wheel,,31,38,0,
YukonRetro,1982,Fish Wheel,,31,,,
YukonRetro,1982,Fish Wheel,201,32,36,1,
YukonRetro,1982,Fish Wheel,201,32,,,
YukonRetro,1982,Fish Wheel,,32,,,
YukonRetro,1982,Fish Wheel,,32,,,
YukonRetro,1982,Fish Wheel,,32,,,
YukonRetro,1982,Fish Wheel,,32,,,
YukonRetro,1982,Fish Wheel,,32,,,
YukonRetro,1982,Fish Wheel,201,33,38,0.78,
YukonRetro,1982,Fish Wheel,201,33,34,0.19,
YukonRetro,1982,Fish Wheel,,33,35,0.01,
YukonRetro,1982,Fish Wheel,,33,31,0.01,
YukonRetro,1982,Fish Wheel,,33,33,0.01,
YukonRetro,1982,Fish Wheel,,33,32,0,
YukonRetro,1982,Fish Wheel,,33,30,0,
YukonRetro,1982,Fish Wheel,201,34,31,1,
YukonRetro,1982,Fish Wheel,201,34,32,0,
YukonRetro,1982,Fish Wheel,,34,35,0,
YukonRetro,1982,Fish Wheel,,34,33,0,
YukonRetro,1982,Fish Wheel,,34,,,
YukonRetro,1982,Fish Wheel,,34,,,
YukonRetro,1982,Fish Wheel,,34,,,
YukonRetro,1982,Fish Wheel,202,35,31,0.77,
YukonRetro,1982,Fish Wheel,202,35,33,0.16,
YukonRetro,1982,Fish Wheel,,35,32,0.07,
YukonRetro,1982,Fish Wheel,,35,34,0,
YukonRetro,1982,Fish Wheel,,35,30,0,
YukonRetro,1982,Fish Wheel,,35,35,0,
YukonRetro,1982,Fish Wheel,,35,,,
YukonRetro,1982,Fish Wheel,202,36,38,0.96,
YukonRetro,1982,Fish Wheel,202,36,34,0.04,
YukonRetro,1982,Fish Wheel,,36,35,0,
YukonRetro,1982,Fish Wheel,,36,32,0,
YukonRetro,1982,Fish Wheel,,36,31,0,
YukonRetro,1982,Fish Wheel,,36,36,0,
YukonRetro,1982,Fish Wheel,,36,,,
YukonRetro,1982,Fish Wheel,202,37,34,0.42,
YukonRetro,1982,Fish Wheel,202,37,38,0.3,
YukonRetro,1982,Fish Wheel,,37,35,0.18,
YukonRetro,1982,Fish Wheel,,37,32,0.07,
YukonRetro,1982,Fish Wheel,,37,31,0.02,
YukonRetro,1982,Fish Wheel,,37,33,0,
YukonRetro,1982,Fish Wheel,,37,,,
YukonRetro,1982,Fish Wheel,202,38,35,0.98,
YukonRetro,1982,Fish Wheel,202,38,32,0.01,
YukonRetro,1982,Fish Wheel,,38,34,0.01,
YukonRetro,1982,Fish Wheel,,38,31,0,
YukonRetro,1982,Fish Wheel,,38,33,0,
YukonRetro,1982,Fish Wheel,,38,38,0,
YukonRetro,1982,Fish Wheel,,38,36,0,
YukonRetro,1982,Fish Wheel,203,39,36,0.73,
YukonRetro,1982,Fish Wheel,203,39,35,0.27,
YukonRetro,1982,Fish Wheel,,39,31,0,
YukonRetro,1982,Fish Wheel,,39,,,
YukonRetro,1982,Fish Wheel,,39,,,
YukonRetro,1982,Fish Wheel,,39,,,
YukonRetro,1982,Fish Wheel,,39,,,
YukonRetro,1982,Fish Wheel,203,40,36,0.99,
YukonRetro,1982,Fish Wheel,203,40,35,0.01,
YukonRetro,1982,Fish Wheel,,40,,,
YukonRetro,1982,Fish Wheel,,40,,,
YukonRetro,1982,Fish Wheel,,40,,,
YukonRetro,1982,Fish Wheel,,40,,,
YukonRetro,1982,Fish Wheel,,40,,,
YukonRetro,1982,Fish Wheel,203,41,36,0.98,
YukonRetro,1982,Fish Wheel,203,41,35,0.01,
YukonRetro,1982,Fish Wheel,,41,31,0,
YukonRetro,1982,Fish Wheel,,41,33,0,
YukonRetro,1982,Fish Wheel,,41,32,0,
YukonRetro,1982,Fish Wheel,,41,,,
YukonRetro,1982,Fish Wheel,,41,,,
YukonRetro,1982,Fish Wheel,203,42,36,0.99,
YukonRetro,1982,Fish Wheel,203,42,35,0.01,
YukonRetro,1982,Fish Wheel,,42,,,
YukonRetro,1982,Fish Wheel,,42,,,
YukonRetro,1982,Fish Wheel,,42,,,
YukonRetro,1982,Fish Wheel,,42,,,
YukonRetro,1982,Fish Wheel,,42,,,
YukonRetro,1982,Fish Wheel,203,43,31,0.51,
YukonRetro,1982,Fish Wheel,203,43,35,0.2,
YukonRetro,1982,Fish Wheel,,43,33,0.18,
YukonRetro,1982,Fish Wheel,,43,32,0.09,
YukonRetro,1982,Fish Wheel,,43,34,0.03,
YukonRetro,1982,Fish Wheel,,43,36,0,
YukonRetro,1982,Fish Wheel,,43,30,0,
YukonRetro,1982,Fish Wheel,203,44,34,0.99,
YukonRetro,1982,Fish Wheel,203,44,38,0.01,
YukonRetro,1982,Fish Wheel,,44,35,0,
YukonRetro,1982,Fish Wheel,,44,33,0,
YukonRetro,1982,Fish Wheel,,44,31,0,
YukonRetro,1982,Fish Wheel,,44,,,
YukonRetro,1982,Fish Wheel,,44,,,
YukonRetro,1982,Fish Wheel,203,45,35,0.98,
YukonRetro,1982,Fish Wheel,203,45,34,0.01,
YukonRetro,1982,Fish Wheel,,45,31,0,
YukonRetro,1982,Fish Wheel,,45,36,0,
YukonRetro,1982,Fish Wheel,,45,33,0,
YukonRetro,1982,Fish Wheel,,45,32,0,
YukonRetro,1982,Fish Wheel,,45,,,
YukonRetro,1982,Fish Wheel,203,46,34,0.43,
YukonRetro,1982,Fish Wheel,203,46,38,0.31,
YukonRetro,1982,Fish Wheel,,46,31,0.24,
YukonRetro,1982,Fish Wheel,,46,33,0.03,
YukonRetro,1982,Fish Wheel,,46,35,0,
YukonRetro,1982,Fish Wheel,,46,32,0,
YukonRetro,1982,Fish Wheel,,46,30,0,
YukonRetro,1982,Fish Wheel,204,47,31,0.94,
YukonRetro,1982,Fish Wheel,204,47,33,0.03,
YukonRetro,1982,Fish Wheel,,47,34,0.02,
YukonRetro,1982,Fish Wheel,,47,35,0,
YukonRetro,1982,Fish Wheel,,47,32,0,
YukonRetro,1982,Fish Wheel,,47,38,0,
YukonRetro,1982,Fish Wheel,,47,36,0,
YukonRetro,1982,Fish Wheel,204,48,32,0.76,
YukonRetro,1982,Fish Wheel,204,48,35,0.11,
YukonRetro,1982,Fish Wheel,,48,34,0.1,
YukonRetro,1982,Fish Wheel,,48,31,0.03,
YukonRetro,1982,Fish Wheel,,48,33,0,
YukonRetro,1982,Fish Wheel,,48,38,0,
YukonRetro,1982,Fish Wheel,,48,,,
YukonRetro,1982,Fish Wheel,204,49,36,0.94,
YukonRetro,1982,Fish Wheel,204,49,35,0.06,
YukonRetro,1982,Fish Wheel,,49,,,
YukonRetro,1982,Fish Wheel,,49,,,
YukonRetro,1982,Fish Wheel,,49,,,
YukonRetro,1982,Fish Wheel,,49,,,
YukonRetro,1982,Fish Wheel,,49,,,
YukonRetro,1982,Fish Wheel,204,50,31,0.75,
YukonRetro,1982,Fish Wheel,204,50,33,0.09,
YukonRetro,1982,Fish Wheel,,50,32,0.08,
YukonRetro,1982,Fish Wheel,,50,34,0.05,
YukonRetro,1982,Fish Wheel,,50,35,0.03,
YukonRetro,1982,Fish Wheel,,50,38,0,
YukonRetro,1982,Fish Wheel,,50,,,
YukonRetro,1982,Fish Wheel,204,51,31,0.42,
YukonRetro,1982,Fish Wheel,204,51,38,0.34,
YukonRetro,1982,Fish Wheel,,51,33,0.09,
YukonRetro,1982,Fish Wheel,,51,34,0.06,
YukonRetro,1982,Fish Wheel,,51,35,0.06,
YukonRetro,1982,Fish Wheel,,51,32,0.02,
YukonRetro,1982,Fish Wheel,,51,30,0.01,
YukonRetro,1982,Fish Wheel,204,52,38,1,
YukonRetro,1982,Fish Wheel,204,52,34,0,
YukonRetro,1982,Fish Wheel,,52,,,
YukonRetro,1982,Fish Wheel,,52,,,
YukonRetro,1982,Fish Wheel,,52,,,
YukonRetro,1982,Fish Wheel,,52,,,
YukonRetro,1982,Fish Wheel,,52,,,
YukonRetro,1982,Fish Wheel,204,53,31,0.37,
YukonRetro,1982,Fish Wheel,204,53,33,0.24,
YukonRetro,1982,Fish Wheel,,53,34,0.18,
YukonRetro,1982,Fish Wheel,,53,32,0.14,
YukonRetro,1982,Fish Wheel,,53,35,0.07,
YukonRetro,1982,Fish Wheel,,53,38,0,
YukonRetro,1982,Fish Wheel,,53,36,0,
YukonRetro,1982,Fish Wheel,205,54,34,0.98,
YukonRetro,1982,Fish Wheel,205,54,33,0.02,
YukonRetro,1982,Fish Wheel,,54,32,0,
YukonRetro,1982,Fish Wheel,,54,35,0,
YukonRetro,1982,Fish Wheel,,54,31,0,
YukonRetro,1982,Fish Wheel,,54,,,
YukonRetro,1982,Fish Wheel,,54,,,
YukonRetro,1982,Fish Wheel,205,55,35,0.74,
YukonRetro,1982,Fish Wheel,205,55,38,0.08,
YukonRetro,1982,Fish Wheel,,55,33,0.07,
YukonRetro,1982,Fish Wheel,,55,34,0.05,
YukonRetro,1982,Fish Wheel,,55,32,0.03,
YukonRetro,1982,Fish Wheel,,55,31,0.03,
YukonRetro,1982,Fish Wheel,,55,30,0,
YukonRetro,1982,Fish Wheel,205,56,31,1,
YukonRetro,1982,Fish Wheel,205,56,33,0,
YukonRetro,1982,Fish Wheel,,56,,,
YukonRetro,1982,Fish Wheel,,56,,,
YukonRetro,1982,Fish Wheel,,56,,,
YukonRetro,1982,Fish Wheel,,56,,,
YukonRetro,1982,Fish Wheel,,56,,,
YukonRetro,1982,Fish Wheel,205,57,36,0.96,
YukonRetro,1982,Fish Wheel,205,57,35,0.02,
YukonRetro,1982,Fish Wheel,,57,32,0.01,
YukonRetro,1982,Fish Wheel,,57,31,0,
YukonRetro,1982,Fish Wheel,,57,33,0,
YukonRetro,1982,Fish Wheel,,57,38,0,
YukonRetro,1982,Fish Wheel,,57,,,
YukonRetro,1982,Fish Wheel,206,58,34,0.99,
YukonRetro,1982,Fish Wheel,206,58,35,0.01,
YukonRetro,1982,Fish Wheel,,58,38,0,
YukonRetro,1982,Fish Wheel,,58,33,0,
YukonRetro,1982,Fish Wheel,,58,,,
YukonRetro,1982,Fish Wheel,,58,,,
YukonRetro,1982,Fish Wheel,,58,,,
YukonRetro,1982,Fish Wheel,206,59,31,0.97,
YukonRetro,1982,Fish Wheel,206,59,34,0.02,
YukonRetro,1982,Fish Wheel,,59,33,0.01,
YukonRetro,1982,Fish Wheel,,59,32,0,
YukonRetro,1982,Fish Wheel,,59,35,0,
YukonRetro,1982,Fish Wheel,,59,,,
YukonRetro,1982,Fish Wheel,,59,,,
YukonRetro,1982,Fish Wheel,206,60,38,0.99,
YukonRetro,1982,Fish Wheel,206,60,34,0,
YukonRetro,1982,Fish Wheel,,60,35,0,
YukonRetro,1982,Fish Wheel,,60,31,0,
YukonRetro,1982,Fish Wheel,,60,,,
YukonRetro,1982,Fish Wheel,,60,,,
YukonRetro,1982,Fish Wheel,,60,,,
YukonRetro,1982,Fish Wheel,206,61,38,0.87,
YukonRetro,1982,Fish Wheel,206,61,34,0.13,
YukonRetro,1982,Fish Wheel,,61,31,0,
YukonRetro,1982,Fish Wheel,,61,35,0,
YukonRetro,1982,Fish Wheel,,61,32,0,
YukonRetro,1982,Fish Wheel,,61,,,
YukonRetro,1982,Fish Wheel,,61,,,
YukonRetro,1982,Fish Wheel,206,62,36,0.92,
YukonRetro,1982,Fish Wheel,206,62,35,0.07,
YukonRetro,1982,Fish Wheel,,62,34,0,
YukonRetro,1982,Fish Wheel,,62,31,0,
YukonRetro,1982,Fish Wheel,,62,38,0,
YukonRetro,1982,Fish Wheel,,62,33,0,
YukonRetro,1982,Fish Wheel,,62,32,0,
YukonRetro,1982,Fish Wheel,206,63,31,1,
YukonRetro,1982,Fish Wheel,206,63,,,
YukonRetro,1982,Fish Wheel,,63,,,
YukonRetro,1982,Fish Wheel,,63,,,
YukonRetro,1982,Fish Wheel,,63,,,
YukonRetro,1982,Fish Wheel,,63,,,
YukonRetro,1982,Fish Wheel,,63,,,
YukonRetro,1982,Fish Wheel,206,64,31,0.52,
YukonRetro,1982,Fish Wheel,206,64,30,0.34,
YukonRetro,1982,Fish Wheel,,64,33,0.07,
YukonRetro,1982,Fish Wheel,,64,34,0.03,
YukonRetro,1982,Fish Wheel,,64,32,0.03,
YukonRetro,1982,Fish Wheel,,64,35,0.02,
YukonRetro,1982,Fish Wheel,,64,38,0,
YukonRetro,1982,Fish Wheel,206,65,31,0.93,
YukonRetro,1982,Fish Wheel,206,65,32,0.06,
YukonRetro,1982,Fish Wheel,,65,35,0,
YukonRetro,1982,Fish Wheel,,65,34,0,
YukonRetro,1982,Fish Wheel,,65,33,0,
YukonRetro,1982,Fish Wheel,,65,36,0,
YukonRetro,1982,Fish Wheel,,65,30,0,
YukonRetro,1982,Fish Wheel,207,66,36,1,
YukonRetro,1982,Fish Wheel,207,66,35,0,
YukonRetro,1982,Fish Wheel,,66,,,
YukonRetro,1982,Fish Wheel,,66,,,
YukonRetro,1982,Fish Wheel,,66,,,
YukonRetro,1982,Fish Wheel,,66,,,
YukonRetro,1982,Fish Wheel,,66,,,
YukonRetro,1982,Fish Wheel,207,67,34,0.63,
YukonRetro,1982,Fish Wheel,207,67,38,0.24,
YukonRetro,1982,Fish Wheel,,67,35,0.09,
YukonRetro,1982,Fish Wheel,,67,32,0.03,
YukonRetro,1982,Fish Wheel,,67,31,0,
YukonRetro,1982,Fish Wheel,,67,33,0,
YukonRetro,1982,Fish Wheel,,67,,,
YukonRetro,1982,Fish Wheel,207,68,36,0.93,
YukonRetro,1982,Fish Wheel,207,68,35,0.07,
YukonRetro,1982,Fish Wheel,,68,,,
YukonRetro,1982,Fish Wheel,,68,,,
YukonRetro,1982,Fish Wheel,,68,,,
YukonRetro,1982,Fish Wheel,,68,,,
YukonRetro,1982,Fish Wheel,,68,,,
YukonRetro,1982,Fish Wheel,207,69,32,0.63,
YukonRetro,1982,Fish Wheel,207,69,34,0.27,
YukonRetro,1982,Fish Wheel,,69,31,0.04,
YukonRetro,1982,Fish Wheel,,69,35,0.04,
YukonRetro,1982,Fish Wheel,,69,38,0.02,
YukonRetro,1982,Fish Wheel,,69,33,0,
YukonRetro,1982,Fish Wheel,,69,36,0,
YukonRetro,1982,Fish Wheel,208,70,34,0.51,
YukonRetro,1982,Fish Wheel,208,70,35,0.17,
YukonRetro,1982,Fish Wheel,,70,33,0.11,
YukonRetro,1982,Fish Wheel,,70,32,0.07,
YukonRetro,1982,Fish Wheel,,70,31,0.06,
YukonRetro,1982,Fish Wheel,,70,36,0.05,
YukonRetro,1982,Fish Wheel,,70,38,0.02,
YukonRetro,1982,Fish Wheel,209,72,31,0.77,
YukonRetro,1982,Fish Wheel,209,72,33,0.16,
YukonRetro,1982,Fish Wheel,,72,32,0.04,
YukonRetro,1982,Fish Wheel,,72,30,0.03,
YukonRetro,1982,Fish Wheel,,72,35,0.01,
YukonRetro,1982,Fish Wheel,,72,34,0,
YukonRetro,1982,Fish Wheel,,72,,,
YukonRetro,1982,Fish Wheel,209,73,35,0.79,
YukonRetro,1982,Fish Wheel,209,73,34,0.07,
YukonRetro,1982,Fish Wheel,,73,33,0.06,
YukonRetro,1982,Fish Wheel,,73,32,0.05,
YukonRetro,1982,Fish Wheel,,73,31,0.02,
YukonRetro,1982,Fish Wheel,,73,36,0,
YukonRetro,1982,Fish Wheel,,73,38,0,
YukonRetro,1982,Fish Wheel,209,74,35,0.98,
YukonRetro,1982,Fish Wheel,209,74,31,0.01,
YukonRetro,1982,Fish Wheel,,74,34,0,
YukonRetro,1982,Fish Wheel,,74,33,0,
YukonRetro,1982,Fish Wheel,,74,32,0,
YukonRetro,1982,Fish Wheel,,74,36,0,
YukonRetro,1982,Fish Wheel,,74,38,0,
YukonRetro,1982,Fish Wheel,209,75,35,0.26,
YukonRetro,1982,Fish Wheel,209,75,32,0.25,
YukonRetro,1982,Fish Wheel,,75,36,0.25,
YukonRetro,1982,Fish Wheel,,75,31,0.22,
YukonRetro,1982,Fish Wheel,,75,33,0.02,
YukonRetro,1982,Fish Wheel,,75,34,0,
YukonRetro,1982,Fish Wheel,,75,38,0,
YukonRetro,1982,Fish Wheel,209,76,31,0.7,
YukonRetro,1982,Fish Wheel,209,76,32,0.23,
YukonRetro,1982,Fish Wheel,,76,35,0.04,
YukonRetro,1982,Fish Wheel,,76,34,0.02,
YukonRetro,1982,Fish Wheel,,76,33,0,
YukonRetro,1982,Fish Wheel,,76,38,0,
YukonRetro,1982,Fish Wheel,,76,,,
YukonRetro,1982,Fish Wheel,209,77,31,0.87,
YukonRetro,1982,Fish Wheel,209,77,33,0.12,
YukonRetro,1982,Fish Wheel,,77,35,0.01,
YukonRetro,1982,Fish Wheel,,77,34,0,
